,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),State,Area,National_share
0,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Rajasthan,342239.0,10.55
1,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Uttar Pradesh,240928.0,7.33
2,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Ladakh,59146.0,1.8
3,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Himachal Pradesh,55673.0,1.7
4,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Uttarakhand,53483.0,1.62
5,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Punjab,50362.0,1.53
6,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Haryana,44212.0,1.34
7,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Jammu and Kashmir,42241.0,1.28
8,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Delhi,1483.0,0.04
9,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,Chandigarh,114.0,0.003
10,2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.0,21.53,Maharashtra,307713.0,9.36
11,2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.0,21.53,Gujarat,196024.0,5.96
12,2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.0,21.53,Goa,3702.0,0.11
13,2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.0,21.53,Dadra and Nagar Haveli and Daman and Diu,603.0,0.01
14,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Karnataka,191791.0,5.83
15,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Andhra Pradesh,162970.0,4.87
16,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Tamil Nadu,130058.0,3.95
17,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Telangana,112077.0,3.49
18,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Kerala,38863.0,1.18
19,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,Puducherry,492.0,0.01
20,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,Odisha,155707.0,4.73
21,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,Bihar,94163.0,2.86
22,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,West Bengal,88752.0,2.7
23,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,Jharkhand,79714.0,2.42
25,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Rajasthan,342239.0,10.55
26,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Uttar Pradesh,240928.0,7.33
27,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Ladakh,59146.0,1.8
28,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Himachal Pradesh,55673.0,1.7
29,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,Uttarakhand,53483.0,1.62
